Solving multi-robot motion planning problem...
Collision constraint violation: Vehicles 17 and 35 will be 0.0920568m apart @ t = 8.21s
Collision constraint violation: Vehicles 17 and 47 will be 0.0757562m apart @ t = 10.02s
Collision constraint violation: Vehicles 18 and 19 will be 0.148251m apart @ t = 2.7s
Collision constraint violation: Vehicles 18 and 20 will be 0.120468m apart @ t = 5.55s
Collision constraint violation: Vehicles 18 and 22 will be 0.121553m apart @ t = 5.32s
Collision constraint violation: Vehicles 18 and 36 will be 0.121895m apart @ t = 7.83s
Collision constraint violation: Vehicles 19 and 21 will be 0.0759097m apart @ t = 4.79s
Collision constraint violation: Vehicles 19 and 23 will be 0.13659m apart @ t = 5.1s
Collision constraint violation: Vehicles 20 and 21 will be 0.0845754m apart @ t = 2.33s
Collision constraint violation: Vehicles 20 and 22 will be 0.0483894m apart @ t = 5.04s
Collision constraint violation: Vehicles 20 and 26 will be 0.12795m apart @ t = 6.68s
Collision constraint violation: Vehicles 20 and 32 will be 0.137586m apart @ t = 7.51s
Collision constraint violation: Vehicles 20 and 44 will be 0.0768589m apart @ t = 9.25s
Collision constraint violation: Vehicles 21 and 23 will be 0.143327m apart @ t = 5.3s
Collision constraint violation: Vehicles 21 and 27 will be 0.135878m apart @ t = 6.45s
Collision constraint violation: Vehicles 21 and 39 will be 0.133529m apart @ t = 7.82s
Collision constraint violation: Vehicles 22 and 23 will be 0.119717m apart @ t = 2.59s
Collision constraint violation: Vehicles 24 and 25 will be 0.0396334m apart @ t = 3.69s
Collision constraint violation: Vehicles 24 and 36 will be 0.127965m apart @ t = 15.28s
Collision constraint violation: Vehicles 24 and 42 will be 0.107378m apart @ t = 17.74s
Collision constraint violation: Vehicles 26 and 27 will be 0.0974659m apart @ t = 2.53s
Collision constraint violation: Vehicles 26 and 32 will be 0.068685m apart @ t = 13.79s
Collision constraint violation: Vehicles 26 and 38 will be 0.132198m apart @ t = 15.35s
Collision constraint violation: Vehicles 26 and 44 will be 0.106045m apart @ t = 18.26s
Collision constraint violation: Vehicles 27 and 29 will be 0.0951529m apart @ t = 4.33s
Collision constraint violation: Vehicles 27 and 33 will be 0.0826204m apart @ t = 13.61s
Collision constraint violation: Vehicles 27 and 39 will be 0.114307m apart @ t = 14.32s
Collision constraint violation: Vehicles 27 and 45 will be 0.104465m apart @ t = 18.23s
Collision constraint violation: Vehicles 28 and 29 will be 0.0775131m apart @ t = 2.36s
Collision constraint violation: Vehicles 30 and 31 will be 0.0932813m apart @ t = 2.48s
Collision constraint violation: Vehicles 30 and 34 will be 0.0885544m apart @ t = 6.34s
Collision constraint violation: Vehicles 30 and 42 will be 0.0643224m apart @ t = 19.35s
Collision constraint violation: Vehicles 31 and 35 will be 0.0609363m apart @ t = 5.52s
Collision constraint violation: Vehicles 31 and 37 will be 0.125187m apart @ t = 17.31s
Collision constraint violation: Vehicles 34 and 46 will be 0.0963649m apart @ t = 19.21s
Collision constraint violation: Vehicles 35 and 41 will be 0.0693284m apart @ t = 18.13s
Collision constraint violation: Vehicles 36 and 38 will be 0.055935m apart @ t = 5.02s
Collision constraint violation: Vehicles 36 and 40 will be 0.068661m apart @ t = 5.26s
Collision constraint violation: Vehicles 36 and 42 will be 0.139046m apart @ t = 21.73s
Collision constraint violation: Vehicles 37 and 43 will be 0.0855605m apart @ t = 20.62s
Collision constraint violation: Vehicles 38 and 40 will be 0.143536m apart @ t = 5.3s
Collision constraint violation: Vehicles 40 and 46 will be 0.137272m apart @ t = 21.18s
Collision constraint violation: Vehicles 41 and 47 will be 0.11522m apart @ t = 21.24s
Collision constraint violation: Vehicles 44 and 46 will be 0.104644m apart @ t = 4.48s
Collision constraint violation: Vehicles 45 and 47 will be 0.074283m apart @ t = 4.79s
All the vehicles reached their goals!
Writing solution to text file...
